customer_age,gender,city,customer_tenure_months,customer_segment,plan_type,contract_type,number_of_services,monthly_data_usage_gb,monthly_voice_minutes,monthly_sms_count,international_usage_flag,network_drop_rate,average_download_speed,service_outages_last_6m,support_tickets_last_12m,avg_resolution_time_hours,complaints_last_12m,mobile_app_logins_last_30d,reward_points_balance,campaign_response_rate,late_payments_last_12m,autopay_enabled,billing_disputes_last_12m,customer_lifetime_value,monthly_revenue,retention_offer_count,service_region_cluster,churn_flag
23,Female,Kolkata,8,Premium,Postpaid,Month-to-Month,4,37.38545561820201,252.67067711896937,67,0,5.502051269428991,74.11132903028002,1,2,29.5376045755253,0,21,38958,,0,1,0,22029.922507367304,1014.6617595767684,0,9,0
76,Male,Kolkata,104,Family,Enterprise,Month-to-Month,5,23.880759515778927,447.56477726772425,87,0,5.056246315847402,36.86108677672111,2,2,12.76304479149851,1,16,3162,,1,0,0,52194.03002011821,766.1704965200236,1,20,1
45,Female,Kolkata,9,Business,Prepaid,Month-to-Month,5,36.5746127191181,750.23881148251,80,0,0.1273146044856554,,0,1,28.76969426456175,0,10,24114,86.8763184645489,0,0,1,22174.792868238,908.8774613077996,1,16,0
52,Female,Pune,88,Consumer,Enterprise,Month-to-Month,2,56.73011894514468,603.5988989085857,67,0,2.774273827710457,60.97362502947328,4,2,6.839502559596552,4,12,47229,92.5348694102694,2,1,0,62127.946252042246,1133.5078246007167,0,46,0
35,Female,Bangalore,94,Business,Unlimited,Month-to-Month,2,18.676212060246023,325.25282705752005,85,0,4.865365040850343,89.09972988300207,4,0,46.26916755214798,1,16,45215,12.520650943678246,1,1,0,53607.55186400846,1242.9200512171765,2,12,0
57,Male,Kolkata,12,Consumer,Prepaid,Month-to-Month,2,68.19686355873326,377.3048328726828,63,0,7.42750918909663,60.800292538686286,5,4,40.48996839833403,0,15,916,72.47183689423339,1,1,0,56970.2144476936,1348.63506590558,0,38,1
70,Female,Mumbai,63,Family,Enterprise,2 Year,1,16.213499726451108,341.83516510340405,74,1,2.102021824992759,70.57879698994066,3,3,26.83892697340972,2,13,34536,22.344100268585358,1,1,0,30758.093809519756,1380.0991519016786,2,3,0
34,Female,Hyderabad,41,Consumer,Enterprise,Month-to-Month,1,29.473732327852613,792.6133334879204,83,0,2.096354737634585,66.55653136839274,0,0,17.33223838308471,0,16,42162,47.31401399704779,3,1,0,50963.75589027322,2046.010175870852,0,20,0
68,Female,Mumbai,83,Premium,Unlimited,2 Year,2,36.64799251439727,521.3907614528092,82,1,8.567276085855159,89.449932347543,2,3,10.863116318781325,0,14,14547,42.95439853555483,1,1,0,34284.23067017511,344.9316459780173,2,16,0
26,Female,Chennai,55,Consumer,Prepaid,Month-to-Month,3,24.545695105259373,710.4121456736032,75,0,3.8100253952015226,59.83667300077809,3,1,34.61355471134001,0,15,20436,83.89184623803581,0,1,0,69095.41908167899,1830.5212321335591,0,45,0
73,Male,Chennai,38,Family,Postpaid,Month-to-Month,4,35.643415639283944,320.364571026125,84,0,2.5658737076290183,90.82400374081423,2,3,4.924852185106927,2,19,32848,71.45400740408839,0,0,0,68624.70162353534,1634.7310195753894,2,32,0
61,Female,Kolkata,61,Consumer,Unlimited,Month-to-Month,2,19.148851684080363,574.0264831147335,77,0,1.5539586627595336,99.8869339796126,1,1,59.777976186788784,1,16,47223,50.5483698485115,1,1,0,53214.87549771294,1518.64998890644,0,4,0
71,Male,Bangalore,90,Premium,Postpaid,1 Year,2,23.55422572379992,479.7872747363348,73,0,2.273719473146316,84.19753457213598,1,2,21.718772969204903,0,17,31336,7.0872835545825685,2,1,0,34580.62886518933,1085.2557483133546,1,9,0
47,Male,Mumbai,10,Consumer,Unlimited,Month-to-Month,5,86.64528431447552,1040.2959544101982,87,0,4.00608781641425,77.46962984268029,2,1,19.935704249054368,1,14,1645,6.293778695189278,1,0,1,48308.10695946952,1733.0985071913312,0,12,1
51,Female,Mumbai,51,Family,Prepaid,1 Year,4,34.49351321270184,342.60202412702324,83,0,6.876625827966256,100.35367317751798,3,3,8.986728273206602,0,17,774,28.114970165443697,3,0,0,67031.07034520374,1992.634106874695,3,5,1
73,Female,Chennai,94,Family,Enterprise,1 Year,3,28.787098860058418,110.41156281911036,78,0,5.345992336283405,79.09185568659274,1,2,14.04897336439791,2,18,32412,87.98113218564876,1,0,1,69394.69446989086,1223.5081964195238,0,8,0
60,Female,Delhi,108,Family,Enterprise,Month-to-Month,5,10.930635862873618,966.671438498764,81,0,0.0633070761133902,86.28343279252825,1,2,16.140582327505587,2,13,27515,58.13151705849554,1,1,0,41769.70598527888,621.8636595030214,1,38,0
28,Male,Mumbai,106,Premium,Postpaid,1 Year,1,40.33222873881105,798.5190870215499,75,0,7.419434812473108,68.69214417954994,3,2,21.263681656316518,0,14,6591,12.50108050465556,1,1,1,87606.90358853279,2238.6605936825285,6,20,0
22,Female,Chennai,21,Premium,Enterprise,1 Year,2,40.72016203275159,551.8922486928828,91,0,2.1773229371786598,99.7735039756693,1,1,12.764756713148934,0,24,11316,21.618611751103543,1,0,1,52391.720450735214,1455.2610812260532,0,8,1
63,Female,Mumbai,108,Family,Unlimited,Month-to-Month,2,27.50650960233433,931.307110356892,82,0,2.6022512835158107,91.99388060526928,7,3,14.000008792221085,0,10,34365,32.36450685023235,0,1,0,20344.169128722908,1263.7831649183215,1,7,1
38,Female,Pune,79,Business,Prepaid,Month-to-Month,1,52.45079735661508,654.5302494647026,69,0,1.0727531284124292,64.90433139882835,2,3,54.23988928070359,0,22,185,22.991484685960927,0,1,1,58556.90665005475,1903.88680109242,1,47,1
42,Male,Mumbai,102,Premium,Enterprise,1 Year,3,39.733175926947645,477.46961743434935,85,0,7.353490228218948,,0,3,10.541516766191895,0,16,26811,3.339696486358989,1,0,0,70948.83430783935,1178.5959108892544,0,45,0
63,Female,Bangalore,37,Family,Prepaid,2 Year,3,32.77205630537513,69.58986830363608,98,0,3.4232544054601144,,2,2,24.20996190606976,2,14,35233,71.5154110930258,1,0,1,65951.79270658114,802.9771591949504,1,28,0
62,Male,Kolkata,109,Business,Unlimited,2 Year,2,27.902685280589743,1249.825376002893,87,0,3.201081747024388,109.28551804906796,5,1,21.85568662214989,1,15,7513,11.462509702412571,1,0,1,63565.91654108932,1885.9238591545163,0,25,0
72,Female,Delhi,90,Family,Enterprise,Month-to-Month,1,28.65029004538159,234.8442559084168,70,0,9.745256593398317,99.77536127224678,1,1,22.388878287958143,0,11,17652,13.3478815868737,0,1,1,46051.56931132189,1227.551038197037,0,36,1
78,Female,Chennai,110,Family,Enterprise,Month-to-Month,1,25.882024320021596,297.01837338974576,75,1,5.710904582132315,50.237254585926685,1,2,45.68766427262507,0,11,48172,7.115506744219746,1,0,0,55691.39180229219,1746.3860157014824,0,37,1
40,Female,Pune,38,Consumer,Postpaid,1 Year,4,25.12968003746814,664.0447539289776,97,0,3.3592547733078506,66.96575031602563,1,2,27.48300812087309,1,17,46172,52.75037884900261,1,0,1,58588.01542132771,1698.3226478644376,0,20,0
64,Female,Mumbai,33,Family,Enterprise,2 Year,3,12.473338866878528,91.63582468722456,74,0,4.751900454176012,68.36609119451656,5,2,9.496790855248843,0,8,294,92.23734781648372,0,1,1,62784.67925800327,1315.6923987315583,0,7,1
