EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,SalaryHikePercent,TrainingHoursLastYear,PerformanceRating,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,Overtime,RemoteWork,BusinessTravel,AbsentDaysLastYear,ProjectsHandled,ManagerFeedbackScore,PromotionLast3Years,EmployeeAttrition
EMP_114655,25,Female,Support,Team Lead,PhD,Single,20,13,80604.35,11.97,17,3.03,2.15,3.9,4.15,Yes,Yes,Non-Travel,5,5,3.85,Yes,Yes
EMP_115876,57,Male,Operations,Team Lead,Master,Married,22,14,112208.38,8.39,23,5.0,1.71,5.0,2.31,No,No,Frequently,7,2,3.24,No,Yes
EMP_104384,49,Male,Operations,Analyst,PhD,Single,0,0,85052.29,19.97,27,4.65,3.85,3.09,2.24,No,Yes,Rarely,6,9,3.66,No,Yes
EMP_107373,55,Male,Operations,Administrator,Diploma,Single,20,6,108214.61,9.55,21,3.42,3.1,2.49,3.76,No,Yes,Frequently,10,7,3.59,Yes,No
EMP_127600,51,Male,HR,Team Lead,MBA,Divorced,17,5,72593.08,9.75,18,3.69,5.0,3.47,2.48,Yes,No,Frequently,5,3,4.4,No,No
EMP_109453,36,Female,HR,Team Lead,PhD,Divorced,16,8,85059.6,14.74,21,2.75,2.2,3.45,2.62,No,No,Rarely,5,8,4.29,No,No
EMP_105028,40,Male,Engineering,Analyst,MBA,Married,5,12,65412.35,14.94,19,2.83,2.87,2.41,3.22,Yes,No,Frequently,2,5,2.74,No,Yes
EMP_109820,53,Male,HR,Developer,MBA,Single,12,8,104408.1,12.09,26,2.84,3.7,4.99,3.43,No,Yes,Rarely,5,6,5.0,No,No
EMP_120725,48,Male,Support,Developer,Bachelor,Divorced,12,8,65610.47,7.88,19,2.49,1.0,3.49,2.09,No,No,Frequently,6,5,4.26,No,Yes
EMP_111620,43,Male,Engineering,Team Lead,MBA,Single,20,11,75042.04,15.99,18,2.26,2.51,3.98,3.15,Yes,No,Rarely,13,4,2.57,No,No
EMP_128502,31,Female,Operations,Administrator,Diploma,Married,1,13,53873.33,15.06,20,3.98,3.57,2.56,4.09,No,Yes,Frequently,5,4,4.34,No,Yes
EMP_128070,38,Female,Finance,Developer,MBA,Divorced,9,1,51112.47,14.39,25,4.14,2.66,4.17,3.5,No,No,Rarely,6,7,5.0,No,No
EMP_102401,40,Male,Sales,Team Lead,Master,Single,1,8,117441.83,13.12,21,2.27,3.14,2.73,3.48,No,No,Frequently,5,1,3.6,No,Yes
EMP_112496,42,Female,Engineering,Developer,MBA,Divorced,14,6,15000.0,15.04,28,5.0,2.12,,2.26,Yes,No,Non-Travel,6,4,3.96,Yes,Yes
EMP_118659,36,Female,Engineering,Developer,Master,Divorced,9,9,111399.15,15.18,23,2.62,1.86,,3.03,No,No,Rarely,5,6,3.34,Yes,Yes
EMP_124998,26,Female,Finance,Manager,Bachelor,Single,5,2,86633.72,8.61,22,1.98,1.49,3.64,2.75,No,Yes,Non-Travel,7,4,4.51,No,Yes
EMP_122731,58,Female,Engineering,Consultant,Diploma,Married,17,5,90941.81,11.18,15,3.58,2.89,4.45,4.68,No,No,Non-Travel,5,3,3.64,No,No
EMP_100420,44,Male,Support,Consultant,PhD,Divorced,13,14,55927.58,2.98,12,3.5,3.53,4.06,1.62,No,Yes,Rarely,6,3,3.14,No,Yes
EMP_117285,50,Female,Support,Analyst,Bachelor,Married,22,2,43593.11,12.77,19,2.76,3.73,2.92,2.93,No,No,Frequently,4,5,5.0,No,Yes
EMP_123692,37,Male,Finance,Manager,Bachelor,Married,23,12,15000.0,22.91,27,2.95,3.86,3.28,1.97,No,No,Rarely,5,4,3.66,No,Yes
EMP_121528,53,Male,Support,Team Lead,Master,Divorced,18,3,47105.16,16.9,22,4.32,2.39,2.97,4.59,No,Yes,Rarely,9,5,2.44,No,No
EMP_114568,25,Male,Finance,Administrator,Bachelor,Divorced,7,5,64916.22,15.88,24,2.25,,2.22,3.49,Yes,Yes,Non-Travel,3,5,3.78,No,Yes
EMP_100594,37,Male,Marketing,Administrator,Master,Single,20,9,880641.36,11.23,25,3.12,2.39,2.53,3.82,Yes,Yes,Rarely,9,4,3.73,Yes,Yes
EMP_102304,57,Female,HR,Developer,MBA,Divorced,7,7,103286.79,9.38,18,4.97,1.0,1.53,3.49,Yes,No,Rarely,3,4,2.77,No,Yes
EMP_129802,56,Male,Marketing,Analyst,PhD,Single,4,12,45896.65,15.12,18,4.25,3.9,3.07,4.32,No,No,Non-Travel,5,6,3.36,No,No
