session_duration_sec,pages_viewed,clicks,ad_impressions,device_type,traffic_source,cart_additions,past_purchases,conversion
3184,3,37,473,Desktop,GoogleAds,6,30,1
3517,12,8,372,Desktop,Facebook,8,9,1
870,7,73,376,Mobile,Organic,0,48,0
1304,26,83,41,Mobile,Facebook,4,40,1
1140,33,77,37,Tablet,GoogleAds,14,41,1
1105,37,13,125,Tablet,Facebook,3,7,0
3102,15,25,422,Desktop,Instagram,9,29,1
1648,2,92,179,Desktop,Facebook,1,13,0
2179,7,61,332,Mobile,Organic,6,44,1
476,32,90,37,Desktop,GoogleAds,18,34,0
1248,4,24,101,Desktop,GoogleAds,5,45,1
340,20,79,31,Tablet,Organic,14,45,0
1492,36,35,190,Desktop,GoogleAds,19,2,1
2145,32,97,146,Mobile,Facebook,11,28,1
3454,28,79,90,Desktop,GoogleAds,10,15,1
3181,13,32,6,Desktop,Facebook,2,9,0
2929,1,2,393,Desktop,GoogleAds,19,3,1
140,35,86,139,Desktop,Facebook,16,49,0
1695,30,10,95,Desktop,Facebook,6,3,1
3390,36,57,119,Mobile,Organic,17,1,1
779,25,63,366,Tablet,Organic,16,10,1
2401,16,17,120,Desktop,Email,15,14,1
1525,19,46,386,Tablet,Organic,1,10,0
3495,1,43,123,Tablet,Facebook,4,22,1
2863,5,92,285,Mobile,Facebook,12,37,1
2443,22,58,366,Tablet,GoogleAds,10,49,1
1225,24,49,377,Desktop,GoogleAds,0,29,0
965,37,68,179,Desktop,Email,2,49,0
2334,36,87,490,Desktop,Facebook,17,0,1
1194,36,28,325,Desktop,Email,3,44,0
469,4,92,407,Mobile,Facebook,8,32,0
3395,36,89,484,Tablet,Organic,10,44,1
31,18,66,7,Mobile,GoogleAds,16,36,0
2310,16,1,384,Tablet,Email,10,22,1
757,18,24,312,Mobile,Instagram,2,48,0
2914,22,18,127,Mobile,Facebook,18,47,1
484,2,39,77,Mobile,Organic,19,17,0
1092,21,1,234,Desktop,Instagram,10,9,1
2568,36,82,318,Desktop,Organic,13,16,1
2057,39,64,74,Mobile,Organic,5,6,1
3557,39,61,484,Tablet,Facebook,18,14,1
2757,29,90,464,Tablet,Organic,14,26,1
985,26,53,271,Desktop,Email,10,8,1
1816,21,44,309,Mobile,Instagram,17,20,1
199,17,48,427,Desktop,Organic,3,36,0
3015,16,98,467,Desktop,Organic,18,28,1
2744,31,68,469,Desktop,GoogleAds,2,41,0
3015,9,37,120,Mobile,GoogleAds,11,44,1
572,31,3,35,Mobile,Email,3,32,0
1909,14,16,207,Desktop,GoogleAds,11,5,1
1277,37,52,496,Mobile,Organic,0,24,0
2889,2,84,270,Tablet,Organic,15,34,1
1538,14,52,93,Tablet,Instagram,1,16,0
3212,33,30,453,Desktop,GoogleAds,2,43,0
3566,35,21,378,Tablet,Facebook,15,26,1
656,39,10,177,Desktop,GoogleAds,9,42,1
2078,20,33,274,Desktop,Organic,8,39,1
2898,2,14,179,Desktop,Instagram,13,24,1
2224,19,9,129,Mobile,GoogleAds,7,11,1
1307,37,95,125,Mobile,Instagram,1,42,0
2445,18,52,27,Mobile,GoogleAds,10,36,1
610,16,47,64,Mobile,Email,1,39,0
2373,4,30,60,Desktop,Organic,14,43,1
2071,12,36,219,Mobile,Organic,17,37,1
251,29,27,217,Tablet,Facebook,4,40,0
2051,7,30,169,Tablet,Organic,6,24,1
2834,14,69,149,Mobile,Facebook,18,48,1
3427,12,13,270,Tablet,Organic,18,1,1
2622,35,86,116,Tablet,GoogleAds,15,0,1
2955,5,15,245,Mobile,GoogleAds,18,49,1
1373,17,24,148,Desktop,Email,16,2,1
2149,32,38,92,Desktop,GoogleAds,12,28,1
1400,10,65,85,Desktop,Instagram,7,13,1
3013,17,37,87,Mobile,GoogleAds,10,44,1
1488,5,40,395,Desktop,Facebook,17,33,1
3509,9,97,120,Desktop,Email,10,21,1
2566,33,39,450,Tablet,Instagram,8,35,1
785,36,63,340,Desktop,Instagram,13,14,1
44,36,88,24,Mobile,Organic,1,36,0
2263,18,99,375,Desktop,Facebook,16,9,1
3162,9,15,89,Tablet,GoogleAds,15,8,1
1965,29,81,37,Tablet,GoogleAds,4,49,1
1595,14,76,342,Tablet,Organic,0,34,0
3469,25,58,383,Tablet,GoogleAds,8,45,1
3083,15,90,408,Desktop,Instagram,2,41,0
1031,6,97,271,Tablet,GoogleAds,13,16,1
3471,29,10,12,Tablet,GoogleAds,17,46,1
2623,15,0,494,Tablet,Instagram,11,17,1
1139,29,12,95,Desktop,Facebook,13,48,1
1510,4,29,491,Mobile,Facebook,15,24,1
712,18,68,448,Tablet,Instagram,4,34,1
2459,39,17,31,Tablet,Instagram,19,15,1
2787,16,77,437,Tablet,Email,19,44,1
1589,11,12,350,Desktop,Email,14,48,1
171,14,31,233,Desktop,GoogleAds,8,24,0
211,3,70,340,Tablet,GoogleAds,16,15,0
1991,38,71,328,Mobile,Email,11,40,1
1005,18,49,300,Tablet,GoogleAds,12,23,1
2327,20,70,286,Mobile,Facebook,9,11,1
825,25,79,35,Mobile,Facebook,6,34,1
3352,38,30,21,Desktop,Organic,6,8,1
465,13,50,111,Desktop,Email,7,47,0
3543,4,26,488,Desktop,Facebook,14,36,1
1285,14,59,319,Mobile,Organic,17,31,1
